image,well,dapi_n,neuron,CELLNUMBERSEEDED,hydrogen_peroxide,neuron_n,axon_seg_count,axon_seg_area,axon_seg_av_size,per_neuron_axon_seg_count,per_neuron_axon_seg_area
2020-019,A05,4518,LC,6580,0,216,15268,361125,23.652,70.68518518518519,1671.875
2020-019,A06,4904,LC,6580,0,227,18114,396081,21.866,79.79735682819383,1744.8502202643172
2020-019,A07,4981,LC,6580,0,330,17161,473031,27.564,52.0030303030303,1433.4272727272728
2020-019,A08,4812,LC,6580,0,161,14463,240502,16.629,89.83229813664596,1493.8012422360248
2020-019,A09,5399,LC,6580,0,231,15437,307311,19.907,66.82683982683983,1330.3506493506493
2020-019,A10,4919,LC,6580,0,227,10551,212087,20.101,46.480176211453745,934.3039647577092
2020-019,A11,4218,LC,6580,0,175,14426,265096,18.376,82.43428571428572,1514.8342857142857
2020-019,A12,5004,LC,6580,0,185,16425,283040,17.232,88.78378378378379,1529.945945945946
2020-019,B01,4344,LC,6580,0,238,11528,277789,24.097,48.436974789915965,1167.1806722689075
2020-019,B02,4452,LC,6580,0,192,21532,392774,18.241,112.14583333333333,2045.6979166666667
2020-019,B03,4730,LC,6580,0,123,13748,215815,15.698,111.77235772357723,1754.5934959349593
2020-019,B04,4854,LC,6580,0,275,18905,364504,19.281,68.74545454545455,1325.469090909091
2020-019,B05,4701,LC,6580,0,257,22954,436231,19.005,89.31517509727627,1697.396887159533
2020-019,B06,3893,LC,6580,0,195,15881,340514,21.442,81.44102564102565,1746.225641025641
2020-019,B07,4623,LC,6580,0,267,18696,377235,20.177,70.02247191011236,1412.8651685393259
2020-019,B08,5164,LC,6580,0,147,17685,266600,15.075,120.3061224489796,1813.6054421768708
2020-019,B09,4631,LC,6580,0,351,16518,388452,23.517,47.05982905982906,1106.7008547008547
2020-019,B10,5356,LC,6580,0,258,16247,349985,21.542,62.97286821705426,1356.531007751938
2020-019,B11,5280,LC,6580,0,196,15358,287557,18.724,78.35714285714286,1467.1275510204082
2020-019,B12,4785,LC,6580,0,304,19728,421012,21.341,64.89473684210526,1384.907894736842
2020-019,C01,4277,LC,6580,100,100,7625,172495,22.622,76.25,1724.95
2020-019,C02,4369,LC,6580,100,108,6405,138518,21.627,59.30555555555556,1282.5740740740741
2020-019,C03,3748,LC,6580,100,59,5575,94853,17.014,94.49152542372882,1607.677966101695
2020-019,C04,4118,LC,6580,100,47,4923,105992,21.53,104.74468085106383,2255.148936170213
2020-019,C05,4350,LC,6580,100,76,7373,139904,18.975,97.01315789473684,1840.842105263158
2020-019,C06,4387,LC,6580,100,85,6597,122244,18.53,77.61176470588235,1438.164705882353
2020-019,C07,3691,LC,6580,100,44,4535,51494,11.355,103.06818181818181,1170.3181818181818
2020-019,C08,3621,LC,6580,100,98,6410,144556,22.552,65.40816326530613,1475.061224489796
2020-019,C09,4631,LC,6580,100,73,5791,96664,16.692,79.32876712328768,1324.164383561644
2020-019,C10,4167,LC,6580,100,150,8230,192914,23.44,54.86666666666667,1286.0933333333332
